"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","INFRAMAINT","ROAD","EUR","A","1995",58000000,
"BEL","INFRAMAINT","ROAD","EUR","A","1996",63000000,
"BEL","INFRAMAINT","ROAD","EUR","A","1997",60000000,
"BEL","INFRAMAINT","ROAD","EUR","A","1998",52000000,
"BEL","INFRAMAINT","ROAD","EUR","A","1999",58000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2000",59000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2001",62000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2002",68000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2003",73000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2004",77000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2005",80000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2006",104000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2007",94000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2008",102000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2009",111000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2010",184000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2011",156000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2012",145000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2013",147000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2014",206000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2015",457000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2016",528000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2017",396797000,"P"
"CAN","INFRAMAINT","ROAD","EUR","A","1995",3292112299.4652,"E"
"CAN","INFRAMAINT","ROAD","EUR","A","1996",3403997227.3567,
"CAN","INFRAMAINT","ROAD","EUR","A","1997",4119520897.0438,
"CAN","INFRAMAINT","ROAD","EUR","A","1998",4025497624.6317,
"CAN","INFRAMAINT","ROAD","EUR","A","1999",4602383805.2595,
"CAN","INFRAMAINT","ROAD","EUR","A","2000",5883897316.2194,
"CAN","INFRAMAINT","ROAD","EUR","A","2001",5292420855.2679,
"CAN","INFRAMAINT","ROAD","EUR","A","2002",5306851901.8074,
"CAN","INFRAMAINT","ROAD","EUR","A","2003",5250316055.6258,
"CAN","INFRAMAINT","ROAD","EUR","A","2004",5401360544.2177,
"CAN","INFRAMAINT","ROAD","EUR","A","2005",5242101079.6847,
"CAN","INFRAMAINT","ROAD","EUR","A","2006",5411459064.7381,
"CAN","INFRAMAINT","ROAD","EUR","A","2007",6874531962.6932,
"CAN","INFRAMAINT","ROAD","EUR","A","2008",6947989482.4601,
"CAN","INFRAMAINT","ROAD","EUR","A","2009",6550592985.1123,
"CAN","INFRAMAINT","ROAD","EUR","A","2010",8693743139.4072,
"CAN","INFRAMAINT","ROAD","EUR","A","2011",5818551904.6234,
"CAN","INFRAMAINT","ROAD","EUR","A","2012",6229763387.2976,
"CAN","INFRAMAINT","ROAD","EUR","A","2013",3942560654.7793,"B"
"CAN","INFRAMAINT","ROAD","EUR","A","2014",4727883574.6585,"B"
"CAN","INFRAMAINT","ROAD","EUR","A","2015",5352869057.729,
"CAN","INFRAMAINT","ROAD","EUR","A","2016",4885097150.6789,
"CAN","INFRAMAINT","ROAD","EUR","A","2017",5362731816.4853,
"CAN","INFRAMAINT","ROAD","EUR","A","2018",4825408104.7083,"P"
"CZE","INFRAMAINT","RAIL","EUR","A","1995",206567979.80147,
"CZE","INFRAMAINT","RAIL","EUR","A","1996",216534005.00855,
"CZE","INFRAMAINT","RAIL","EUR","A","1997",211982747.33873,
"CZE","INFRAMAINT","RAIL","EUR","A","1998",225753783.12224,
"CZE","INFRAMAINT","RAIL","EUR","A","1999",240318001.75161,
"CZE","INFRAMAINT","RAIL","EUR","A","2000",256573736.51127,
"CZE","INFRAMAINT","RAIL","EUR","A","2001",292212558.79779,
"CZE","INFRAMAINT","RAIL","EUR","A","2002",385200761.9641,
"CZE","INFRAMAINT","RAIL","EUR","A","2003",225012326.21606,"B"
"CZE","INFRAMAINT","RAIL","EUR","A","2004",213065377.03294,
"CZE","INFRAMAINT","RAIL","EUR","A","2005",235821025.80803,
"CZE","INFRAMAINT","RAIL","EUR","A","2006",256014849.21413,
"CZE","INFRAMAINT","RAIL","EUR","A","2007",252790166.50936,
"CZE","INFRAMAINT","RAIL","EUR","A","2008",353219279.61857,
"CZE","INFRAMAINT","RAIL","EUR","A","2009",372144185.55423,
"CZE","INFRAMAINT","RAIL","EUR","A","2010",359098438.75401,
"CZE","INFRAMAINT","RAIL","EUR","A","2011",364509622.11052,
"CZE","INFRAMAINT","RAIL","EUR","A","2012",353021180.47547,
"CZE","INFRAMAINT","RAIL","EUR","A","2013",377570496.2443,
"CZE","INFRAMAINT","RAIL","EUR","A","2014",423630328.51778,
"CZE","INFRAMAINT","RAIL","EUR","A","2015",661095840.20524,
"CZE","INFRAMAINT","RAIL","EUR","A","2016",576898891.03432,
"CZE","INFRAMAINT","RAIL","EUR","A","2017",547798474.58142,
"CZE","INFRAMAINT","RAIL","EUR","A","2018",671252695.65692,
"CZE","INFRAMAINT","ROAD","EUR","A","1995",133302205.46698,
"CZE","INFRAMAINT","ROAD","EUR","A","1996",188357307.22467,
"CZE","INFRAMAINT","ROAD","EUR","A","1997",178179114.70124,
"CZE","INFRAMAINT","ROAD","EUR","A","1998",173417935.56149,
"CZE","INFRAMAINT","ROAD","EUR","A","1999",185871589.98164,
"CZE","INFRAMAINT","ROAD","EUR","A","2000",202478387.13845,
"CZE","INFRAMAINT","ROAD","EUR","A","2001",271629660.51431,
"CZE","INFRAMAINT","ROAD","EUR","A","2002",280122407.52099,
"CZE","INFRAMAINT","ROAD","EUR","A","2003",264236386.9898,
"CZE","INFRAMAINT","ROAD","EUR","A","2004",296530087.10042,
"CZE","INFRAMAINT","ROAD","EUR","A","2005",350374177.86626,
"CZE","INFRAMAINT","ROAD","EUR","A","2006",544247693.92551,
"CZE","INFRAMAINT","ROAD","EUR","A","2007",589735645.68308,
"CZE","INFRAMAINT","ROAD","EUR","A","2008",611282503.30542,
"CZE","INFRAMAINT","ROAD","EUR","A","2009",578344950.63278,
"CZE","INFRAMAINT","ROAD","EUR","A","2010",669805763.44494,
"CZE","INFRAMAINT","ROAD","EUR","A","2011",569721666.42266,
"CZE","INFRAMAINT","ROAD","EUR","A","2012",570711609.89111,
"CZE","INFRAMAINT","ROAD","EUR","A","2013",513098756.3108,
"CZE","INFRAMAINT","ROAD","EUR","A","2014",587126577.03789,
"CZE","INFRAMAINT","ROAD","EUR","A","2015",684442001.09951,
"CZE","INFRAMAINT","ROAD","EUR","A","2016",767272565.86102,
"CZE","INFRAMAINT","ROAD","EUR","A","2017",721269257.64988,
"CZE","INFRAMAINT","ROAD","EUR","A","2018",871462498.68386,
"DNK","INFRAMAINT","ROAD","EUR","A","1995",554789753.10832,
"DNK","INFRAMAINT","ROAD","EUR","A","1996",573792766.10777,
"DNK","INFRAMAINT","ROAD","EUR","A","1997",505151745.98084,
"DNK","INFRAMAINT","ROAD","EUR","A","1998",556548174.61799,
"DNK","INFRAMAINT","ROAD","EUR","A","1999",581661197.48238,
"DNK","INFRAMAINT","ROAD","EUR","A","2000",585875660.73681,
"DNK","INFRAMAINT","ROAD","EUR","A","2001",647728187.64928,
"DNK","INFRAMAINT","ROAD","EUR","A","2002",674113451.31552,
"DNK","INFRAMAINT","ROAD","EUR","A","2003",703702208.40567,
"DNK","INFRAMAINT","ROAD","EUR","A","2004",736703450.31519,
"DNK","INFRAMAINT","ROAD","EUR","A","2005",767341680.42192,
"DNK","INFRAMAINT","ROAD","EUR","A","2006",705312973.41502,
"DNK","INFRAMAINT","ROAD","EUR","A","2007",728512374.51012,
"DNK","INFRAMAINT","ROAD","EUR","A","2008",715665236.0515,
"DNK","INFRAMAINT","ROAD","EUR","A","2009",866336301.25029,
"DNK","INFRAMAINT","ROAD","EUR","A","2010",1057981523.2571,
"DNK","INFRAMAINT","ROAD","EUR","A","2011",880856832.24395,
"DNK","INFRAMAINT","ROAD","EUR","A","2012",944544453.10191,
"DNK","INFRAMAINT","ROAD","EUR","A","2013",920098150.95402,
"DNK","INFRAMAINT","ROAD","EUR","A","2014",795852392.38622,
"DNK","INFRAMAINT","ROAD","EUR","A","2015",807792347.08927,
"DNK","INFRAMAINT","ROAD","EUR","A","2016",919762537.94289,
"DNK","INFRAMAINT","ROAD","EUR","A","2017",1117533977.7112,
"DNK","INFRAMAINT","ROAD","EUR","A","2018",1151451725.4334,
"FIN","INFRAMAINT","RAIL","EUR","A","1995",119000000,
"FIN","INFRAMAINT","RAIL","EUR","A","1996",114000000,
"FIN","INFRAMAINT","RAIL","EUR","A","1997",117000000,
"FIN","INFRAMAINT","RAIL","EUR","A","1998",113000000,
"FIN","INFRAMAINT","RAIL","EUR","A","1999",113000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2000",115000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2001",125000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2002",135000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2003",137000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2004",155000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2005",156000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2006",156000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2007",167000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2008",180000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2009",196000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2010",195000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2011",197000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2012",181000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2013",201000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2014",194000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2015",206000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2016",216000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2017",233000000,
"FIN","INFRAMAINT","RAIL","EUR","A","2018",221000000,
"FIN","INFRAMAINT","ROAD","EUR","A","1995",599000000,
"FIN","INFRAMAINT","ROAD","EUR","A","1996",526000000,
"FIN","INFRAMAINT","ROAD","EUR","A","1997",564000000,
"FIN","INFRAMAINT","ROAD","EUR","A","1998",549000000,
"FIN","INFRAMAINT","ROAD","EUR","A","1999",527000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2000",534000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2001",543000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2002",634000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2003",627000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2004",587000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2005",600000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2006",612000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2007",611000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2008",673000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2009",684000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2010",667000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2011",658000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2012",525000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2013",511000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2014",506000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2015",508900000,
"FIN","INFRAMAINT","ROAD","EUR","A","2016",544000000,
"FIN","INFRAMAINT","ROAD","EUR","A","2017",548500000,
"FIN","INFRAMAINT","ROAD","EUR","A","2018",543000000,
"FRA","INFRAMAINT","RAIL","EUR","A","1997",2561000000,
"FRA","INFRAMAINT","RAIL","EUR","A","1998",2531000000,
"FRA","INFRAMAINT","RAIL","EUR","A","1999",2622000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2000",2617000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2001",2642000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2002",2914000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2003",3411000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2004",3592000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2005",3568000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2006",3225000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2007",3377000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2008",3672000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2009",3730000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2010",3770000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2011",3804000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2012",3983000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2013",3884000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2014",3115000000,
"FRA","INFRAMAINT","RAIL","EUR","A","2015",3245830000,"E"
"FRA","INFRAMAINT","RAIL","EUR","A","2016",3329599391.1122,
"FRA","INFRAMAINT","RAIL","EUR","A","2017",3502751907.6627,
"FRA","INFRAMAINT","RAIL","EUR","A","2018",3496362367.9299,
"FRA","INFRAMAINT","ROAD","EUR","A","1995",178000000,
"FRA","INFRAMAINT","ROAD","EUR","A","1996",180000000,
"FRA","INFRAMAINT","ROAD","EUR","A","1997",186000000,
"FRA","INFRAMAINT","ROAD","EUR","A","1998",185000000,
"FRA","INFRAMAINT","ROAD","EUR","A","1999",210000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2000",228000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2001",221000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2002",233000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2003",239000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2004",239000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2005",2189000000,"B"
"FRA","INFRAMAINT","ROAD","EUR","A","2006",2235000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2007",2294000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2008",2286000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2009",2601000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2010",2431000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2011",2746000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2012",2851000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2013",2904000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2014",2760000000,
"FRA","INFRAMAINT","ROAD","EUR","A","2015",2598230000,
"FRA","INFRAMAINT","ROAD","EUR","A","2016",2430850000,
"FRA","INFRAMAINT","ROAD","EUR","A","2017",2369230000,
"FRA","INFRAMAINT","ROAD","EUR","A","2018",2370650000,
"HUN","INFRAMAINT","RAIL","EUR","A","1995",137804150.40825,
"HUN","INFRAMAINT","RAIL","EUR","A","1999",63714328.107226,
"HUN","INFRAMAINT","RAIL","EUR","A","2000",78605179.128445,
"HUN","INFRAMAINT","RAIL","EUR","A","2004",211158440.32051,"E"
"HUN","INFRAMAINT","RAIL","EUR","A","2005",233910772.83684,"E"
"HUN","INFRAMAINT","RAIL","EUR","A","2006",1237219955.8933,
"HUN","INFRAMAINT","RAIL","EUR","A","2007",1287815335.8642,
"HUN","INFRAMAINT","RAIL","EUR","A","2008",457985004.22067,
"HUN","INFRAMAINT","RAIL","EUR","A","2009",398432760.32796,
"HUN","INFRAMAINT","RAIL","EUR","A","2010",439735078.17315,
"HUN","INFRAMAINT","RAIL","EUR","A","2011",435090043.32104,
"HUN","INFRAMAINT","RAIL","EUR","A","2012",434792526.86087,
"HUN","INFRAMAINT","RAIL","EUR","A","2013",418191100.71772,
"HUN","INFRAMAINT","RAIL","EUR","A","2014",490151331.34461,
"HUN","INFRAMAINT","RAIL","EUR","A","2015",473250026.21835,
"HUN","INFRAMAINT","RAIL","EUR","A","2016",549990367.94452,
"HUN","INFRAMAINT","RAIL","EUR","A","2017",621384054.51503,
"HUN","INFRAMAINT","RAIL","EUR","A","2018",636089861.20913,
"HUN","INFRAMAINT","ROAD","EUR","A","1995",96821390.509499,
"HUN","INFRAMAINT","ROAD","EUR","A","1996",91366130.372619,
"HUN","INFRAMAINT","ROAD","EUR","A","1997",135382209.7727,"B"
"HUN","INFRAMAINT","ROAD","EUR","A","1998",157198393.0609,
"HUN","INFRAMAINT","ROAD","EUR","A","1999",127753103.51649,
"HUN","INFRAMAINT","ROAD","EUR","A","2000",106752616.32736,
"HUN","INFRAMAINT","ROAD","EUR","A","2004",254437858.07195,"E"
"HUN","INFRAMAINT","ROAD","EUR","A","2005",283406163.35938,"E"
"HUN","INFRAMAINT","ROAD","EUR","A","2006",1255479730.8169,
"HUN","INFRAMAINT","ROAD","EUR","A","2007",1366964384.122,
"HUN","INFRAMAINT","ROAD","EUR","A","2008",444228611.15249,
"HUN","INFRAMAINT","ROAD","EUR","A","2009",453960552.38355,
"HUN","INFRAMAINT","ROAD","EUR","A","2010",328639179.65316,"E"
"HUN","INFRAMAINT","ROAD","EUR","A","2011",256474884.53689,
"HUN","INFRAMAINT","ROAD","EUR","A","2012",295796203.70505,
"HUN","INFRAMAINT","ROAD","EUR","A","2013",370188266.48275,
"HUN","INFRAMAINT","ROAD","EUR","A","2014",272792913.14377,
"HUN","INFRAMAINT","ROAD","EUR","A","2015",282235255.20535,
"HUN","INFRAMAINT","ROAD","EUR","A","2016",292602581.39087,
"HUN","INFRAMAINT","ROAD","EUR","A","2017",369402387.86184,
"HUN","INFRAMAINT","ROAD","EUR","A","2018",379716515.32973,
"ISL","INFRAMAINT","RAIL","EUR","A","1995",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","1996",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","1997",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","1998",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","1999",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2000",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2001",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2002",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2003",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2004",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2005",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2006",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2007",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2008",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2009",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2010",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2011",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2012",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2013",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2014",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2015",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2016",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2017",,"M"
"ISL","INFRAMAINT","RAIL","EUR","A","2018",,"M"
"ISL","INFRAMAINT","ROAD","EUR","A","1995",13840045.913053,
"ISL","INFRAMAINT","ROAD","EUR","A","1996",16315198.771339,
"ISL","INFRAMAINT","ROAD","EUR","A","1997",15933125.614426,
"ISL","INFRAMAINT","ROAD","EUR","A","1998",16315772.959744,
"ISL","INFRAMAINT","ROAD","EUR","A","1999",20949512.710191,
"ISL","INFRAMAINT","ROAD","EUR","A","2000",24639056.416415,
"ISL","INFRAMAINT","ROAD","EUR","A","2001",23235779.668521,
"ISL","INFRAMAINT","ROAD","EUR","A","2002",24015537.008291,
"ISL","INFRAMAINT","ROAD","EUR","A","2003",25922799.708556,
"ISL","INFRAMAINT","ROAD","EUR","A","2004",26469079.823723,
"ISL","INFRAMAINT","ROAD","EUR","A","2005",33548812.563743,
"ISL","INFRAMAINT","ROAD","EUR","A","2006",32283484.293259,
"ISL","INFRAMAINT","ROAD","EUR","A","2007",35516847.691576,
"ISL","INFRAMAINT","ROAD","EUR","A","2008",52616079.316776,
"ISL","INFRAMAINT","ROAD","EUR","A","2009",30022457.424225,
"ISL","INFRAMAINT","ROAD","EUR","A","2010",28853328.400086,
"ISL","INFRAMAINT","ROAD","EUR","A","2011",28979457.348977,
"ISL","INFRAMAINT","ROAD","EUR","A","2012",29746314.334095,
"ISL","INFRAMAINT","ROAD","EUR","A","2013",27800232.654429,
"ISL","INFRAMAINT","ROAD","EUR","A","2014",32285309.151206,
"ISL","INFRAMAINT","ROAD","EUR","A","2015",43390380.865047,
"ISL","INFRAMAINT","ROAD","EUR","A","2016",45396545.138279,
"ISL","INFRAMAINT","ROAD","EUR","A","2017",68009709.745015,
"ISL","INFRAMAINT","ROAD","EUR","A","2018",83480690.587356,
"IRL","INFRAMAINT","RAIL","EUR","A","1995",10000000,
"IRL","INFRAMAINT","RAIL","EUR","A","1996",38000000,
"IRL","INFRAMAINT","RAIL","EUR","A","1997",36000000,
"IRL","INFRAMAINT","RAIL","EUR","A","1998",42000000,
"IRL","INFRAMAINT","RAIL","EUR","A","1999",63000000,
"IRL","INFRAMAINT","RAIL","EUR","A","2000",115000000,
"IRL","INFRAMAINT","RAIL","EUR","A","2001",187000000,
"IRL","INFRAMAINT","RAIL","EUR","A","2002",128000000,
"IRL","INFRAMAINT","RAIL","EUR","A","2003",126000000,
"IRL","INFRAMAINT","RAIL","EUR","A","2004",121000000,
"IRL","INFRAMAINT","RAIL","EUR","A","2005",127000000,
"IRL","INFRAMAINT","RAIL","EUR","A","2006",135000000,
"IRL","INFRAMAINT","RAIL","EUR","A","2007",144000000,
"IRL","INFRAMAINT","ROAD","EUR","A","1997",84000000,
"IRL","INFRAMAINT","ROAD","EUR","A","1998",80000000,
"IRL","INFRAMAINT","ROAD","EUR","A","1999",97000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2000",105000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2001",132000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2002",141000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2003",144000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2004",148000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2005",156000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2006",176000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2007",184000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2008",193000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2009",170000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2010",165000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2011",159000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2012",139000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2013",128000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2014",85000000,
"IRL","INFRAMAINT","ROAD","EUR","A","2015",82000000,
"ITA","INFRAMAINT","RAIL","EUR","A","1995",2155000000,
"ITA","INFRAMAINT","RAIL","EUR","A","1996",2225000000,
"ITA","INFRAMAINT","RAIL","EUR","A","1997",2297000000,
"ITA","INFRAMAINT","RAIL","EUR","A","1998",2210000000,
"ITA","INFRAMAINT","RAIL","EUR","A","1999",3531000000,
"ITA","INFRAMAINT","RAIL","EUR","A","2000",5363000000,
"ITA","INFRAMAINT","RAIL","EUR","A","2001",5234000000,
"ITA","INFRAMAINT","RAIL","EUR","A","2002",5619000000,
"ITA","INFRAMAINT","RAIL","EUR","A","2003",7324000000,
"ITA","INFRAMAINT","RAIL","EUR","A","2004",7807000000,
"ITA","INFRAMAINT","RAIL","EUR","A","2005",8919000000,
"ITA","INFRAMAINT","RAIL","EUR","A","2006",9492000000,
"ITA","INFRAMAINT","RAIL","EUR","A","2007",8282000000,
"ITA","INFRAMAINT","RAIL","EUR","A","2008",8036000000,
